,Symbol,Industry
451,BRFS,Food Products
452,BRG,Equity Real Estate Investment Trusts...
453,BRKL,Banks
454,BRKR,Life Sciences Tools & Services
455,BRKS,Semiconductors & Semiconductor Equipment
456,BRO,Insurance
457,BRX,Equity Real Estate Investment Trusts...
458,BSAC,Banks
459,BSBR,Banks
460,BSET,Household Durables
461,BSIG,Capital Markets
462,BSM,"Oil, Gas & Consumable Fuels"
463,BSMX,Banks
464,BSQR,Software
465,BSRR,Banks
466,BSX,Health Care Equipment & Supplies
467,BTB,Restaurants
468,BTCM,Information Technology Services
469,BTG,Metals & Mining
470,BTI,Tobacco
471,BUD,Beverages
472,BURL,Specialty Retail
473,BUSE,Banks
474,BVH,"Hotels, Restaurants & Leisure"
475,BVN,Metals & Mining
476,BVXV,Pharmaceuticals
477,BW,Electrical Equipment
478,BWA,Auto Components
479,BWEN,Electrical Equipment
480,BWFG,Banks
481,BWXT,Aerospace & Defense
482,BX,Capital Markets
483,BXC,Trading Companies & Distributors
484,BXMT,Mortgage Real Estate Investment Trus...
485,BXP,Equity Real Estate Investment Trusts...
486,BXS,Banks
487,BYD,"Hotels, Restaurants & Leisure"
488,BZH,Household Durables
489,BZUN,Internet & Direct Marketing Retail
490,C,Banks
491,CAAS,Auto Components
492,CABO,Media
493,CAC,Banks
494,CACC,Consumer Finance
495,CACI,IT Services
496,CAE,Aerospace & Defense
497,CAG,Food Products
498,CAI,Trading Companies & Distributors
499,CAJ,"Technology Hardware, Storage & Periph..."
500,CAKE,"Hotels, Restaurants & Leisure"
501,CAL,Specialty Retail
502,CALA,Biotechnology
503,CALM,Food Products
504,CALX,Communications Equipment
505,CAMP,Communications Equipment
506,CAMT,Semiconductors & Semiconductor Equipment
507,CANF,Biotechnology
508,CAPL,"Oil, Gas & Consumable Fuels"
509,CAPR,Biotechnology
510,CAR,Road & Rail
511,CARA,Pharmaceuticals
512,CARE,Banks
513,CASH,Thrifts & Mortgage Finance
514,CASI,Biotechnology
515,CASS,IT Services
516,CASY,Food & Staples Retailing
517,CAT,Machinery
518,CATO,Specialty Retail
519,CATY,Banks
520,CB,Insurance
521,CBAY,Pharmaceuticals
522,CBD,Food & Staples Retailing
523,CBIO,Biotechnology
524,CBOE,Capital Markets
525,CBRE,Real Estate Management & Development
526,CBRL,"Hotels, Restaurants & Leisure"
527,CBSH,Banks
528,CBT,Chemicals
529,CBU,Banks
530,CBZ,Professional Services
531,CC,Chemicals
532,CCBG,Banks
533,CCEP,Beverages
534,CCF,Chemicals
535,CCI,Equity Real Estate Investment Trusts...
536,CCJ,"Oil, Gas & Consumable Fuels"
537,CCK,Containers & Packaging
538,CCL,"Hotels, Restaurants & Leisure"
539,CCLP,Energy Equipment & Services
540,CCMP,Semiconductors & Semiconductor Equipment
541,CCNE,Banks
542,CCO,Media
543,CCOI,Diversified Telecommunication Services
544,CCRN,Health Care Providers & Services
545,CCS,Household Durables
546,CCU,Beverages
547,CCXI,Biotechnology
548,CDE,Metals & Mining
549,CDEV,"Oil, Gas & Consumable Fuels"
550,CDK,Software
551,CDMO,Biotechnology
552,CDNA,Biotechnology
553,CDNS,Software
554,CDOR,Equity Real Estate Investment Trusts...
555,CDR,Equity Real Estate Investment Trusts...
556,CDTX,Biotechnology
557,CDW,"Electronic Equipment, Instruments & C..."
558,CDXC,Life Sciences Tools & Services
559,CDXS,Life Sciences Tools & Services
560,CDZI,Water Utilities
561,CE,Chemicals
562,CEA,Airlines
563,CECE,Commercial Services & Supplies
564,CELH,Beverages
565,CELP,Energy Equipment & Services
566,CEMI,Health Care Equipment & Supplies
567,CENT,Household Products
568,CENTA,Household Products
569,CENX,Metals & Mining
570,CEQP,"Oil, Gas & Consumable Fuels"
571,CERN,Health Care Technology
572,CERS,Health Care Equipment & Supplies
573,CET,Asset Management
574,CETX,"Electronic Equipment, Instruments & C..."
575,CEVA,Semiconductors & Semiconductor Equipment
576,CF,Chemicals
577,CFFI,Banks
578,CFFN,Thrifts & Mortgage Finance
579,CFG,Banks
580,CFMS,Health Care Equipment & Supplies
581,CFR,Banks
582,CFRX,Biotechnology
583,CFX,Machinery
584,CG,Capital Markets
585,CGA,Chemicals
586,CGAU,Gold
587,CGC,Pharmaceuticals
588,CGEN,Life Sciences Tools & Services
589,CGNX,"Electronic Equipment, Instruments & C..."
590,CGRN,Specialty Industrial Machinery
591,CHCO,Banks
592,CHCT,Equity Real Estate Investment Trusts...
593,CHD,Household Products
594,CHDN,"Hotels, Restaurants & Leisure"
595,CHE,Health Care Providers & Services
596,CHEF,Food & Staples Retailing
597,CHEK,Health Care Equipment & Supplies
598,CHGG,Diversified Consumer Services
599,CHH,"Hotels, Restaurants & Leisure"
600,CHKP,Software
601,CHMG,Banks
602,CHMI,Mortgage Real Estate Investment Trus...
603,CHRS,Biotechnology
604,CHRW,Air Freight & Logistics
605,CHS,Specialty Retail
606,CHT,Diversified Telecommunication Services
607,CHTR,Media
608,CHUY,"Hotels, Restaurants & Leisure"
609,CI,Health Care Providers & Services
610,CIA,Insurance
611,CIB,Banks
612,CIDM,Entertainment
613,CIEN,Communications Equipment
614,CIG,Electric Utilities
615,CIGI,Real Estate Management & Development
616,CIM,Mortgage Real Estate Investment Trus...
617,CINF,Insurance
618,CINR,Chemicals
619,CIO,Equity Real Estate Investment Trusts...
620,CIR,Machinery
621,CIT,Banks
622,CIVB,Banks
623,CJJD,Food & Staples Retailing
624,CL,Household Products
625,CLAR,Leisure Products
626,CLB,Energy Equipment & Services
627,CLBS,Biotechnology
628,CLDT,Equity Real Estate Investment Trusts...
629,CLDX,Biotechnology
630,CLF,Metals & Mining
631,CLFD,Communications Equipment
632,CLH,Commercial Services & Supplies
633,CLI,Equity Real Estate Investment Trusts...
634,CLIR,"Electronic Equipment, Instruments & C..."
635,CLLS,Biotechnology
636,CLMT,"Oil, Gas & Consumable Fuels"
637,CLNE,"Oil, Gas & Consumable Fuels"
638,CLR,"Oil, Gas & Consumable Fuels"
639,CLRB,Biotechnology
640,CLS,"Electronic Equipment, Instruments & C..."
641,CLSD,Pharmaceuticals
642,CLSN,Biotechnology
643,CLVS,Biotechnology
644,CLW,Paper & Forest Products
645,CLX,Household Products
646,CM,Banks
647,CMA,Banks
648,CMC,Metals & Mining
649,CMCM,Software
650,CMCO,Machinery
651,CMCSA,Media
652,CME,Capital Markets
653,CMG,"Hotels, Restaurants & Leisure"
654,CMI,Machinery
655,CMO,Mortgage Real Estate Investment Trus...
656,CMP,Metals & Mining
657,CMPR,Commercial Services & Supplies
658,CMRE,Marine
659,CMRX,Biotechnology
660,CMS,Multi-Utilities
661,CMT,Chemicals
662,CMTL,Communications Equipment
663,CNA,Insurance
664,CNBKA,Banks
665,CNC,Health Care Providers & Services
666,CNCE,Biotechnology
667,CNDT,IT Services
668,CNET,Media
669,CNHI,Machinery
670,CNI,Road & Rail
671,CNK,Entertainment
672,CNMD,Health Care Equipment & Supplies
673,CNO,Insurance
674,CNOB,Banks
675,CNP,Multi-Utilities
676,CNQ,"Oil, Gas & Consumable Fuels"
677,CNR,Building Products
678,CNS,Capital Markets
679,CNSL,Diversified Telecommunication Services
680,CNTY,"Hotels, Restaurants & Leisure"
681,CNX,"Oil, Gas & Consumable Fuels"
682,CNXN,"Electronic Equipment, Instruments & C..."
683,CO,Health Care Providers & Services
684,CODI,Diversified Financial Services
685,COF,Consumer Finance
686,COHR,"Electronic Equipment, Instruments & C..."
687,COHU,Semiconductors & Semiconductor Equipment
688,COKE,Beverages
689,COLB,Banks
690,COLL,Pharmaceuticals
691,COLM,"Textiles, Apparel & Luxury Goods"
692,COMM,Communications Equipment
693,CONE,Equity Real Estate Investment Trusts...
694,CONN,Specialty Retail
695,COO,Health Care Equipment & Supplies
696,COOP,Thrifts & Mortgage Finance
697,COP,"Oil, Gas & Consumable Fuels"
698,COR,Equity Real Estate Investment Trusts...
699,CORR,Equity Real Estate Investment Trusts...
700,CORT,Pharmaceuticals
701,COST,Food & Staples Retailing
702,COTY,Personal Products
703,COUP,Software
704,COWN,Capital Markets
705,CP,Road & Rail
706,CPA,Airlines
707,CPB,Food Products
708,CPE,"Oil, Gas & Consumable Fuels"
709,CPF,Banks
710,CPG,"Oil, Gas & Consumable Fuels"
711,CPHI,Pharmaceuticals
712,CPIX,Pharmaceuticals
713,CPK,Gas Utilities
714,CPLP,"Oil, Gas & Consumable Fuels"
715,CPRI,"Textiles, Apparel & Luxury Goods"
716,CPRT,Commercial Services & Supplies
717,CPRX,Biotechnology
718,CPS,Auto Components
719,CPSI,Health Care Technology
720,CPT,Equity Real Estate Investment Trusts...
721,CQP,"Oil, Gas & Consumable Fuels"
722,CR,Machinery
723,CRAI,Professional Services
724,CRBP,Biotechnology
725,CRDF,Biotechnology
726,CREG,Commercial Services & Supplies
727,CRESY,Real Estate Management & Development
728,CRH,Construction Materials
729,CRI,"Textiles, Apparel & Luxury Goods"
730,CRIS,Biotechnology
731,CRK,"Oil, Gas & Consumable Fuels"
732,CRL,Life Sciences Tools & Services
733,CRM,Software
734,CRMD,Pharmaceuticals
735,CRMT,Specialty Retail
736,CRNT,Communications Equipment
737,CROX,"Textiles, Apparel & Luxury Goods"
738,CRS,Metals & Mining
739,CRSP,Biotechnology
740,CRT,"Oil, Gas & Consumable Fuels"
741,CRTO,Media
742,CRUS,Semiconductors & Semiconductor Equipment
743,CRVL,Health Care Providers & Services
744,CRVS,Biotechnology
745,CRWS,"Textiles, Apparel & Luxury Goods"
746,CRY,Health Care Equipment & Supplies
747,CS,Capital Markets
748,CSBR,Life Sciences Tools & Services
749,CSCO,Communications Equipment
750,CSGP,Professional Services
751,CSGS,IT Services
752,CSII,Health Care Equipment & Supplies
